Stationscode;Stationsname;Netzwerk;Schadstoff;Datentyp;Zeit;"Messwert (in �g/m�)"
DEHE134;Fulda-Zentral;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";89
DEBW010;Wiesloch;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";103
DEBY031;"Kempten (Allg�u)/Westendstra�e";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";95
DEHE013;Kassel-Mitte;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";80
DENI016;Oker/Harlingerode;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";78
DENW068;Soest-Ost;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";53
DESL012;Saarbr�cken-City;SL;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";46
DEST044;Halberstadt;ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";87
DESH056;Eggebek;SH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";68
DEBW019;Ulm;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";76
DEBY049;"Neustadt a.d. Donau/Eining";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";93
DEHE022;Wiesbaden-S�d;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";96
DENI031;Jadebusen;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";68
DENW078;Ratingen-Tiefenbroich;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";83
DESH001;Altendeich;SH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";64
DEST077;Magdeburg/West;ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";74
DEBW024;Ludwigsburg;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";112
DEBY062;"Regen/Bodenmaiser Stra�e";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";97
DEHE028;F�rth/Odenwald;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";100
DENI042;G�ttingen;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";82
DENW081;Borken-Gemen;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";76
DESH014;St.-Peter-Ording;SH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";72
DEST098;"Unterharz / Friedrichsbrunn";ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";87
DEBB029;"Schwedt (Oder)";BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";59
DEBW031;Schwarzwald-S�d;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";88
DEBY072;Tiefenbach/Altenschneeberg;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";104
DEHE039;"Burg Herzberg (Grebenau)";HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";95
DENI052;Allertal;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";70
DENW096;M�nchengladbach-Rheydt;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";76
DESH023;"L�beck-St. J�rgen";SH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";66
DEST106;"Goldene Aue (Ro�la)";ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";89
DEBB053;Hasenholz;BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";70
DEBW039;Villingen-Schwenningen;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";86
DEBY079;"Bad Reichenhall/Nonn";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";94
DEHE044;Limburg;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";96
DENI058;"Ostfries. Inseln";NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";69
DENW247;"Essen-Schuir (LANUV)";NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";62
DESN004;Bautzen;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";81
DETH011;"Altenburg Theaterplatz";TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";85
DEBB064;Cottbus;BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";85
DEBW056;Schw�bisch_Hall;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";105
DEBY093;Sulzbach-Rosenberg/Lohe;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";98
DEHE050;Zierenberg;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";79
DENI062;"L�neburger Heide";NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";62
DERP013;Westpfalz-Waldmohr;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";97
DESN051;Radebeul-Wahnsdorf;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";96
DETH020;"Erfurt Kr�mpferstr.";TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";74
DEBB067;Nauen;BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";63
DEBW076;Baden-Baden;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";122
DEBY113;Erlangen/Kraepelinstra�e;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";95
DEHE060;Kellerwald;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";94
DENI077;Solling-S�d;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";75
DERP016;Westerwald-Herdorf;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";86
DESN059;Leipzig-West;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";88
DETH036;"Greiz Mollbergstr.";TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";89
DEBB086;Blankenfelde-Mahlow;BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";65
DEBW087;Schw�bische_Alb;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";85
DEBY188;Schwabach/Angerstra�e;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";83
DEHH047;"Hamburg Bramfeld";HH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";63
DENW015;Marl-Sickingm�hle;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";58
DERP021;Neuwied-Hafenstra�e;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";84
DESN076;Collmberg;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";79
DETH060;Zella-Mehlis;TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";93
DEBE027;"B Marienfelde-Schichauweg";BE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";64
DEBY002;Arzberg/Egerstra�e;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";96
DEHB001;Bremen-Mitte;HB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";63
DEMV007;Rostock-Stuthof;MV;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";67
DENW034;Duisburg-Walsum;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";56
